,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,0,1,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,1,0,0
5,0,1,0,0
6,0,1,0,0
7,0,1,0,0
8,0,0,0,0
9,0,0,0,0
10,0,1,0,0
11,0,1,0,0
12,0,0,0,0
13,0,0,0,0
14,1,1,0,0
15,1,1,0,0
16,0,1,0,0
17,0,1,0,0
18,1,1,0,0
19,0,1,0,0
20,0,1,0,0
21,0,1,0,0
22,0,1,0,0
23,0,1,0,0
24,0,1,0,0
25,0,0,0,0
26,0,1,0,0
27,0,1,0,0
28,0,1,0,0
29,0,0,0,0
30,0,0,0,0
31,0,1,0,0
32,0,1,0,0
33,0,1,0,0
34,0,0,0,0
35,0,0,0,0
36,0,1,0,0
37,0,1,0,0
38,0,0,0,0
39,0,1,0,0
40,0,1,0,0
41,0,0,0,0
42,0,0,0,0
43,0,1,0,0
44,0,1,0,0
45,0,0,0,0
46,0,1,0,0
47,0,0,0,0
48,0,1,0,0
49,0,1,0,0
50,2,0,1,1
51,2,0,1,1
52,2,0,2,1
53,0,0,1,1
54,2,0,1,1
55,1,0,1,1
56,2,1,1,2
57,0,0,1,1
58,2,0,1,1
59,0,0,1,1
60,0,0,1,1
61,1,0,1,1
62,1,0,1,1
63,1,0,1,1
64,1,0,1,1
65,2,0,1,1
66,1,0,1,1
67,1,0,1,1
68,2,0,1,1
69,1,0,1,1
70,1,0,2,3
71,1,0,1,1
72,2,0,2,1
73,1,0,1,1
74,2,0,1,1
75,2,0,1,1
76,2,0,2,1
77,2,0,2,2
78,1,0,1,1
79,1,0,1,1
80,0,0,1,1
81,0,0,1,1
82,1,0,1,1
83,1,0,3,2
84,0,0,1,1
85,1,1,1,2
86,2,0,1,1
87,2,0,1,1
88,1,0,1,1
89,0,0,1,1
90,0,0,1,1
91,1,0,1,1
92,1,0,1,1
93,0,0,1,1
94,1,0,1,1
95,1,0,1,1
96,1,0,1,1
97,2,0,1,1
98,0,0,1,1
99,1,0,1,1
100,2,1,3,3
101,1,0,3,3
102,2,0,3,3
103,2,0,3,3
104,2,0,3,3
105,2,0,3,3
106,0,0,1,2
107,2,0,3,3
108,2,0,3,3
109,2,1,3,3
110,2,0,3,3
111,2,0,3,3
112,2,0,3,3
113,1,0,2,3
114,1,0,3,3
115,2,0,3,3
116,2,0,3,3
117,2,1,3,3
118,2,0,3,3
119,1,0,2,1
120,2,0,3,3
121,1,0,2,3
122,2,0,3,3
123,2,0,2,3
124,2,1,3,3
125,2,0,3,3
126,2,0,2,3
127,1,0,2,3
128,2,0,3,3
129,2,0,3,2
130,2,0,3,3
131,2,1,3,3
132,2,0,3,3
133,2,0,3,1
134,1,0,3,1
135,2,0,3,3
136,2,1,3,3
137,2,0,3,3
138,1,0,2,3
139,2,0,3,3
140,2,0,3,3
141,2,0,3,3
142,1,0,3,3
143,2,0,3,3
144,2,1,3,3
145,2,0,3,3
146,2,0,2,3
147,2,0,3,3
148,2,1,3,3
149,1,0,3,3
